"_id","measuretime","topic","payload.value","payload.value_units","payload.input","payload.subID","payload.unitID"
"ObjectId(""60606b665ebb635c20b5d6ab"")","2021-03-28T11:41:26.000Z","u4/301/energy","[1154373,1154370,234.26,0,0,0,0,0]","[""Wh"",""Ea+"",""V"",""A"",""W"",""VAR"",""VA"",""cosPhi""]",78,"lighting","modbus_rs485"
"ObjectId(""60606b6a5ebb635c20b5d6ac"")","2021-03-28T11:41:30.000Z","u4/campusfab/luminosity",250,"lux",,57,"auto_2C76"
"ObjectId(""60606b6b5ebb635c20b5d6ad"")","2021-03-28T11:41:31.000Z","u4/300/luminosity",205,"lux",100,"ilot1","inside"
"ObjectId(""60606b6b5ebb635c20b5d6ae"")","2021-03-28T11:41:31.000Z","u4/300/luminosity",298,"lux",105,"ilot2","inside"
"ObjectId(""60606b6b5ebb635c20b5d6af"")","2021-03-28T11:41:31.000Z","u4/300/luminosity",702,"lux",110,"ilot3","inside"
"ObjectId(""60606b6b5ebb635c20b5d6b0"")","2021-03-28T11:41:31.000Z","irit2/360/luminosity",0,"lux",,"57","auto_7e65"
"ObjectId(""60606b6b5ebb635c20b5d6b1"")","2021-03-28T11:41:31.000Z","irit2/366/luminosity",84,"lux",,"57","auto_adc7"
"ObjectId(""60606b6c5ebb635c20b5d6b2"")","2021-03-28T11:41:32.000Z","irit2/460/luminosity",0,"lux",,"57","auto_ea9c"
"ObjectId(""60606b6e5ebb635c20b5d6b3"")","2021-03-28T11:41:34.000Z","bu/111/luminosity",91,"lux",,"57","auto_61ca"
"ObjectId(""60606b6f5ebb635c20b5d6b4"")","2021-03-28T11:41:35.000Z","u4/301/humidity",30,"%r.H.",104,"ilot1","inside"
"ObjectId(""60606b6f5ebb635c20b5d6b5"")","2021-03-28T11:41:35.000Z","u4/301/humidity",32,"%r.H.",109,"ilot2","inside"
"ObjectId(""60606b6f5ebb635c20b5d6b6"")","2021-03-28T11:41:35.000Z","u4/301/humidity",30,"%r.H.",114,"ilot3","inside"
"ObjectId(""60606b705ebb635c20b5d6b7"")","2021-03-28T11:41:36.000Z","irit2/260/luminosity",0,"lux",,"57","auto_4c0b"
"ObjectId(""60606b715ebb635c20b5d6b8"")","2021-03-28T11:41:37.000Z","u4/301/luminosity",1000,"lux",100,"ilot1","inside"
"ObjectId(""60606b715ebb635c20b5d6b9"")","2021-03-28T11:41:37.000Z","u4/301/luminosity",412,"lux",105,"ilot2","inside"
"ObjectId(""60606b715ebb635c20b5d6ba"")","2021-03-28T11:41:37.000Z","u4/301/luminosity",718,"lux",110,"ilot3","inside"
"ObjectId(""60606b715ebb635c20b5d6bb"")","2021-03-28T11:41:37.000Z","u4/302/energy","[0.87,1.38,7769.22,29.87,28.49,1.4]","[""m3/hr"",""kW"",""kWh"",""hot_degresC"",""cold_degresC"",""diff_degresC""]",1,"chauffage","modbus_rs485"
"ObjectId(""60606b715ebb635c20b5d6bc"")","2021-03-28T11:41:37.000Z","irit2/366/energy","[533558,533550,233.69,0.09,10,20,20,0.53]","[""Wh"",""Ea+"",""V"",""A"",""W"",""VAR"",""VA"",""cosPhi""]",61,"main","modbus_rs485"
"ObjectId(""60606b725ebb635c20b5d6bd"")","2021-03-28T11:41:38.000Z","u4/302/energy","[246078,246070,233.95,0.12,10,30,30,0.18]","[""Wh"",""Ea+"",""V"",""A"",""W"",""VAR"",""VA"",""cosPhi""]",88,"prises1","modbus_rs485"
"ObjectId(""60606b725ebb635c20b5d6be"")","2021-03-28T11:41:38.000Z","u4/302/energy","[7061179,7061170,233.58,0.78,110,140,180,0.61]","[""Wh"",""Ea+"",""V"",""A"",""W"",""VAR"",""VA"",""cosPhi""]",65,"prises2","modbus_rs485"
"ObjectId(""60606b725ebb635c20b5d6bf"")","2021-03-28T11:41:38.000Z","u4/302/energy","[3090026,3090020,233.23,0.28,40,50,60,0.62]","[""Wh"",""Ea+"",""V"",""A"",""W"",""VAR"",""VA"",""cosPhi""]",62,"prises3","modbus_rs485"
"ObjectId(""60606b725ebb635c20b5d6c0"")","2021-03-28T11:41:38.000Z","u4/301/co2",416,"ppm",102,"ilot1","inside"
"ObjectId(""60606b725ebb635c20b5d6c1"")","2021-03-28T11:41:38.000Z","u4/301/co2",84,"ppm",107,"ilot2","inside"
