"_id","measuretime","topic","payload.value","payload.value_units","payload.input","payload.subID","payload.unitID"
"ObjectId(""60606ba05ebb635c20b5d72b"")","2021-03-28T11:42:24.000Z","bu/hall/temperature",19.875,"celsius",,"31","auto_4c24"
"ObjectId(""60606ba05ebb635c20b5d72c"")","2021-03-28T11:42:24.000Z","bu/tour_8etg/humidity",43,"%r.H.",,"64","auto_a13a"
"ObjectId(""60606ba25ebb635c20b5d72d"")","2021-03-28T11:42:26.000Z","irit2/260/temperature",22.625,"celsius",,"31","auto_4c0b"
"ObjectId(""60606ba25ebb635c20b5d72e"")","2021-03-28T11:42:26.000Z","irit2/260/temperature",23.35022,"celsius",,"64","auto_4c0b"
"ObjectId(""60606ba35ebb635c20b5d72f"")","2021-03-28T11:42:27.000Z","irit2/260/humidity",27,"%r.H.",,"64","auto_4c0b"
"ObjectId(""60606ba55ebb635c20b5d730"")","2021-03-28T11:42:29.000Z","u4/301/energy","[0.75,0,3787.88,30.85,30.71,0]","[""m3/hr"",""kW"",""kWh"",""hot_degresC"",""cold_degresC"",""diff_degresC""]",1,"heaters","modbus_rs485"
"ObjectId(""60606ba55ebb635c20b5d731"")","2021-03-28T11:42:29.000Z","u4/301/energy","[1154373,1154370,233.95,0,0,0,0,0]","[""Wh"",""Ea+"",""V"",""A"",""W"",""VAR"",""VA"",""cosPhi""]",78,"lighting","modbus_rs485"
"ObjectId(""60606ba75ebb635c20b5d732"")","2021-03-28T11:42:31.000Z","u4/300/luminosity",205,"lux",100,"ilot1","inside"
"ObjectId(""60606ba75ebb635c20b5d733"")","2021-03-28T11:42:31.000Z","u4/300/luminosity",295,"lux",105,"ilot2","inside"
"ObjectId(""60606ba75ebb635c20b5d734"")","2021-03-28T11:42:31.000Z","u4/300/luminosity",700,"lux",110,"ilot3","inside"
"ObjectId(""60606ba75ebb635c20b5d735"")","2021-03-28T11:42:31.000Z","u4/campusfab/luminosity",252,"lux",,57,"auto_2C76"
"ObjectId(""60606ba95ebb635c20b5d736"")","2021-03-28T11:42:33.000Z","irit2/360/luminosity",0,"lux",,"57","auto_7e65"
"ObjectId(""60606ba95ebb635c20b5d737"")","2021-03-28T11:42:33.000Z","irit2/366/luminosity",84,"lux",,"57","auto_adc7"
"ObjectId(""60606baa5ebb635c20b5d738"")","2021-03-28T11:42:34.000Z","irit2/460/luminosity",0,"lux",,"57","auto_ea9c"
"ObjectId(""60606bab5ebb635c20b5d739"")","2021-03-28T11:42:35.000Z","u4/301/humidity",30,"%r.H.",104,"ilot1","inside"
"ObjectId(""60606bab5ebb635c20b5d73a"")","2021-03-28T11:42:35.000Z","u4/301/humidity",32,"%r.H.",109,"ilot2","inside"
"ObjectId(""60606bab5ebb635c20b5d73b"")","2021-03-28T11:42:35.000Z","u4/301/humidity",30,"%r.H.",114,"ilot3","inside"
"ObjectId(""60606bac5ebb635c20b5d73c"")","2021-03-28T11:42:36.000Z","bu/111/luminosity",91,"lux",,"57","auto_61ca"
"ObjectId(""60606bad5ebb635c20b5d73d"")","2021-03-28T11:42:37.000Z","u4/301/luminosity",1000,"lux",100,"ilot1","inside"
"ObjectId(""60606bad5ebb635c20b5d73e"")","2021-03-28T11:42:37.000Z","u4/301/luminosity",414,"lux",105,"ilot2","inside"
"ObjectId(""60606bad5ebb635c20b5d73f"")","2021-03-28T11:42:37.000Z","u4/301/luminosity",720,"lux",110,"ilot3","inside"
"ObjectId(""60606bae5ebb635c20b5d740"")","2021-03-28T11:42:38.000Z","irit2/366/energy","[533558,533550,234.03,0.09,10,20,20,0.53]","[""Wh"",""Ea+"",""V"",""A"",""W"",""VAR"",""VA"",""cosPhi""]",61,"main","modbus_rs485"
"ObjectId(""60606bae5ebb635c20b5d741"")","2021-03-28T11:42:38.000Z","u4/301/co2",432,"ppm",102,"ilot1","inside"
"ObjectId(""60606bae5ebb635c20b5d742"")","2021-03-28T11:42:38.000Z","u4/301/co2",70,"ppm",107,"ilot2","inside"
"ObjectId(""60606bae5ebb635c20b5d743"")","2021-03-28T11:42:38.000Z","u4/301/co2",281,"ppm",112,"ilot3","inside"
"ObjectId(""60606bae5ebb635c20b5d744"")","2021-03-28T11:42:38.000Z","irit2/260/luminosity",0,"lux",,"57","auto_4c0b"
